timestamp,dpid,table_id,in_port,eth_src,eth_dst,ip_src,ip_dst,eth_type,ip_proto,src_port,dst_port,n_packets,n_bytes,duration_sec,entry_type,throughput_bps,priority_label
2025-11-24 15:24:58,1,0,3,b1:82:7e:dd:c7:0c,ee:6a:99:95:c4:f1,10.0.0.182,10.0.0.66,2048,6,35049,80,1301,786908,0.001,flow_stats,6295264000.0,0
2025-11-24 15:24:58,1,0,3,06:09:cb:db:1e:25,c6:e0:f4:86:16:7b,10.0.0.123,10.0.0.129,2048,6,36034,443,184,95518,2.662,flow_stats,287050.759,0
2025-11-24 15:24:58,1,0,2,c0:87:d8:7f:ca:e1,9f:c3:9f:2e:a7:ae,10.0.0.151,10.0.0.67,2048,6,36040,443,216,147947,1.112,flow_stats,1064146.337,0
2025-11-24 15:24:58,1,0,2,d9:fd:7b:19:b5:db,3f:1d:52:a9:6c:30,10.0.0.35,10.0.0.248,2048,6,39075,8080,3,1302,11.161,flow_stats,933.252,0
2025-11-24 15:24:58,1,0,2,e0:b6:67:65:51:d3,21:f3:15:a4:0e:aa,10.0.0.249,10.0.0.251,2048,6,36068,443,152,93712,1.116,flow_stats,671601.59,0
2025-11-24 15:24:58,1,0,1,1f:84:83:08:b4:16,78:b3:37:27:e3:39,10.0.0.131,10.0.0.20,2048,6,36030,443,326,184727,0.037,flow_stats,39540959.181,0
2025-11-24 15:24:58,1,0,1,8f:75:13:9d:b0:2e,95:4d:1d:4a:bd:7c,10.0.0.103,10.0.0.77,2048,6,39046,8080,3,1155,10.42,flow_stats,886.716,0
2025-11-24 15:24:58,1,0,2,a0:19:a5:54:3b:94,04:a3:01:81:f2:42,10.0.0.193,10.0.0.107,2048,6,36003,443,401,212237,1.352,flow_stats,1255721.621,0
2025-11-24 15:24:58,1,0,2,d5:6b:e0:e6:0f:bf,47:41:9c:04:ff:b5,10.0.0.87,10.0.0.58,2048,17,38053,53,6,2568,0.651,flow_stats,31564.476,0
2025-11-24 15:24:58,1,0,1,58:93:27:da:30:2e,b1:89:12:c3:5a:f9,10.0.0.132,10.0.0.166,2048,6,35078,80,1588,973233,7.094,flow_stats,1097542.12,0
2025-11-24 15:24:58,1,0,3,90:17:52:23:99:2d,ca:3e:47:8f:dd:6b,10.0.0.157,10.0.0.130,2048,17,42040,27015,596,489778,1.17,flow_stats,3349984.782,1
2025-11-24 15:24:58,1,0,3,17:25:b7:36:94:9a,2c:90:e0:c3:ca:0f,10.0.0.122,10.0.0.41,2048,17,40068,5004,1199,847905,1.463,flow_stats,4635866.407,1
2025-11-24 15:24:58,1,0,1,9c:1a:fe:6d:93:3b,78:c7:a8:5a:66:07,10.0.0.176,10.0.0.110,2048,6,39010,8080,8,3613,8.425,flow_stats,3430.918,0
2025-11-24 15:24:58,1,0,2,f9:07:1c:bb:cf:bc,d5:c9:eb:14:c4:77,10.0.0.180,10.0.0.101,2048,6,39019,8080,8,3436,13.819,flow_stats,1989.102,0
2025-11-24 15:24:58,1,0,1,bc:16:94:4c:0d:36,6c:a0:b0:6e:c1:10,10.0.0.169,10.0.0.186,2048,6,36019,443,367,213188,2.732,flow_stats,624298.946,0
2025-11-24 15:24:58,1,0,2,40:4c:25:90:aa:a3,7a:f6:de:d1:3e:9a,10.0.0.240,10.0.0.182,2048,17,41026,8000,1857,1459716,1.795,flow_stats,6504933.292,1
2025-11-24 15:24:58,1,0,3,6a:49:d5:df:97:6e,41:43:71:83:c3:33,10.0.0.34,10.0.0.26,2048,6,36020,443,401,239561,1.328,flow_stats,1442608.664,0
2025-11-24 15:24:58,1,0,3,d1:ab:d5:b6:30:34,04:dd:27:fc:6c:a0,10.0.0.105,10.0.0.221,2048,17,41031,8000,1334,1260476,2.25,flow_stats,4480853.001,1
2025-11-24 15:24:58,1,0,2,60:23:f3:bc:5b:06,fb:35:ca:e0:2b:3d,10.0.0.37,10.0.0.102,2048,6,39051,8080,5,1922,2.184,flow_stats,7040.145,0
2025-11-24 15:24:58,1,0,3,ce:71:5d:23:ef:97,6d:b8:e0:83:7b:ac,10.0.0.224,10.0.0.236,2048,6,37019,5222,86,38718,3.609,flow_stats,85827.687,0
2025-11-24 15:24:58,1,0,3,8d:e0:bf:1c:a1:a6,f6:fd:f7:28:ea:99,10.0.0.53,10.0.0.19,2048,6,37016,5222,111,53826,5.211,flow_stats,82639.348,0
2025-11-24 15:24:58,1,0,2,7c:31:c6:41:a2:44,cc:a7:90:d9:c9:24,10.0.0.89,10.0.0.126,2048,6,36085,443,206,115186,1.813,flow_stats,508359.217,0
2025-11-24 15:24:58,1,0,1,05:60:3c:e7:7d:c7,83:7d:2a:db:fc:a6,10.0.0.192,10.0.0.160,2048,17,41064,8000,1785,1733112,1.147,flow_stats,12091690.508,1
2025-11-24 15:24:58,1,0,1,70:ed:16:82:f8:db,45:0a:60:62:e3:7e,10.0.0.153,10.0.0.101,2048,6,37041,5222,184,117560,1.843,flow_stats,510297.445,0
2025-11-24 15:24:58,1,0,1,b3:83:37:00:18:c5,e0:d6:55:d3:fc:c1,10.0.0.90,10.0.0.140,2048,17,42048,27015,683,605285,1.184,flow_stats,4090896.693,1
2025-11-24 15:24:58,1,0,1,c1:56:ce:6a:6f:a0,b4:cf:8c:7f:94:76,10.0.0.98,10.0.0.154,2048,17,41060,8000,1787,1615489,2.037,flow_stats,6344086.033,1
2025-11-24 15:24:58,1,0,2,99:16:19:ce:67:c9,41:65:a6:75:8e:89,10.0.0.131,10.0.0.112,2048,17,41034,8000,1712,1542487,1.288,flow_stats,9580255.659,1
2025-11-24 15:24:58,1,0,1,a7:44:4c:92:c0:41,08:63:bb:b3:c2:21,10.0.0.208,10.0.0.190,2048,6,39094,8080,4,1725,10.021,flow_stats,1377.088,0
2025-11-24 15:24:58,1,0,1,43:5c:ca:e4:26:75,33:f6:be:76:cd:41,10.0.0.242,10.0.0.109,2048,6,36035,443,279,162198,2.554,flow_stats,508145.161,0
2025-11-24 15:24:58,1,0,3,20:70:31:55:55:16,d4:37:a7:a5:61:6a,10.0.0.240,10.0.0.139,2048,17,38050,53,11,4167,0.146,flow_stats,228040.095,0
2025-11-24 15:24:58,1,0,3,09:ac:17:47:dd:00,56:80:8a:4b:16:77,10.0.0.249,10.0.0.24,2048,6,36045,443,222,158298,0.964,flow_stats,1313872.028,0
2025-11-24 15:24:58,1,0,3,b6:72:59:c1:9d:96,41:5a:00:c8:10:5d,10.0.0.155,10.0.0.82,2048,6,36078,443,227,132786,2.621,flow_stats,405349.453,0
2025-11-24 15:24:58,1,0,3,37:6e:68:05:75:0b,70:65:81:d1:ef:e1,10.0.0.18,10.0.0.188,2048,6,35088,80,2955,1982902,5.224,flow_stats,3036836.877,0
2025-11-24 15:24:58,1,0,1,6c:98:91:e6:32:d3,e7:dd:ce:7f:8b:45,10.0.0.190,10.0.0.3,2048,6,39069,8080,4,1621,12.925,flow_stats,1003.319,0
2025-11-24 15:24:58,1,0,3,2f:46:33:b9:3a:30,87:aa:a2:3f:5d:6c,10.0.0.150,10.0.0.205,2048,6,35010,80,1520,700799,3.344,flow_stats,1676749.462,0
2025-11-24 15:24:58,1,0,1,f5:58:8d:a9:9f:1b,31:46:56:f4:53:00,10.0.0.14,10.0.0.46,2048,6,36070,443,219,145127,0.806,flow_stats,1440805.075,0
2025-11-24 15:24:58,1,0,3,7c:1a:04:02:f0:79,fe:91:98:8d:a0:ec,10.0.0.176,10.0.0.231,2048,6,36082,443,386,230860,1.358,flow_stats,1359726.797,0
2025-11-24 15:24:58,1,0,2,08:7c:cc:8b:4b:3c,b4:e7:ff:7f:bd:8d,10.0.0.241,10.0.0.183,2048,6,37051,5222,31,18573,3.249,flow_stats,45726.347,0
2025-11-24 15:24:58,1,0,3,2d:af:f6:72:0d:c3,e8:c3:ec:76:c6:e7,10.0.0.47,10.0.0.251,2048,6,39004,8080,3,1477,13.223,flow_stats,893.564,0
2025-11-24 15:24:58,1,0,1,55:23:f2:03:e8:83,9c:7d:d0:1b:4a:73,10.0.0.195,10.0.0.78,2048,6,39037,8080,7,3007,21.972,flow_stats,1094.857,0
2025-11-24 15:24:58,1,0,3,22:ab:66:20:34:30,53:28:ee:f8:0f:6b,10.0.0.164,10.0.0.101,2048,6,39054,8080,1,357,7.501,flow_stats,380.767,0
2025-11-24 15:24:58,1,0,1,4d:46:71:e4:93:00,4c:c8:48:11:b1:23,10.0.0.128,10.0.0.68,2048,6,37088,5222,66,46315,2.654,flow_stats,139603.895,0
2025-11-24 15:24:58,1,0,1,e2:97:69:d4:74:83,ac:93:03:66:b2:a4,10.0.0.202,10.0.0.191,2048,6,37036,5222,173,95479,3.293,flow_stats,231931.476,0
2025-11-24 15:24:58,1,0,3,4b:07:b7:a8:00:6a,6f:01:1f:0a:09:c0,10.0.0.64,10.0.0.204,2048,6,37037,5222,194,113881,4.608,flow_stats,197728.164,0
2025-11-24 15:24:58,1,0,1,42:49:73:2a:30:ce,90:35:7f:73:80:5e,10.0.0.187,10.0.0.169,2048,17,41038,8000,914,833236,1.88,flow_stats,3545956.433,1
